Iteration Times, 1, Error, 1.773178, MSE, 0.443294
Iteration Times, 2, Error, 1.752660, MSE, 0.440730
Iteration Times, 3, Error, 1.729832, MSE, 0.437972
Iteration Times, 4, Error, 1.704421, MSE, 0.435006
Iteration Times, 5, Error, 1.676102, MSE, 0.431810
Iteration Times, 6, Error, 1.644487, MSE, 0.428362
Iteration Times, 7, Error, 1.609097, MSE, 0.424635
Iteration Times, 8, Error, 1.569357, MSE, 0.420598
Iteration Times, 9, Error, 1.524622, MSE, 0.416215
Iteration Times, 10, Error, 1.474331, MSE, 0.411452
Iteration Times, 11, Error, 1.418435, MSE, 0.406285
Iteration Times, 12, Error, 1.358255, MSE, 0.400725
Iteration Times, 13, Error, 1.297601, MSE, 0.394853
Iteration Times, 14, Error, 1.242967, MSE, 0.388845
Iteration Times, 15, Error, 1.201070, MSE, 0.382940
Iteration Times, 16, Error, 1.174720, MSE, 0.377361
Iteration Times, 17, Error, 1.161478, MSE, 0.372244
Iteration Times, 18, Error, 1.156393, MSE, 0.367625
Iteration Times, 19, Error, 1.155136, MSE, 0.363476
Iteration Times, 20, Error, 1.155110, MSE, 0.359741
Iteration Times, 21, Error, 1.155144, MSE, 0.356362
Iteration Times, 22, Error, 1.154859, MSE, 0.353287
Iteration Times, 23, Error, 1.154221, MSE, 0.350473
Iteration Times, 24, Error, 1.153300, MSE, 0.347883
Iteration Times, 25, Error, 1.152183, MSE, 0.345490
Iteration Times, 26, Error, 1.150942, MSE, 0.343268
Iteration Times, 27, Error, 1.149627, MSE, 0.341199
Iteration Times, 28, Error, 1.148274, MSE, 0.339266
Iteration Times, 29, Error, 1.146904, MSE, 0.337454
Iteration Times, 30, Error, 1.145531, MSE, 0.335752
Iteration Times, 31, Error, 1.144164, MSE, 0.334148
Iteration Times, 32, Error, 1.142809, MSE, 0.332635
Iteration Times, 33, Error, 1.141469, MSE, 0.331202
Iteration Times, 34, Error, 1.140145, MSE, 0.329844
Iteration Times, 35, Error, 1.138840, MSE, 0.328555
Iteration Times, 36, Error, 1.137552, MSE, 0.327328
Iteration Times, 37, Error, 1.136283, MSE, 0.326159
Iteration Times, 38, Error, 1.135033, MSE, 0.325043
Iteration Times, 39, Error, 1.133801, MSE, 0.323977
Iteration Times, 40, Error, 1.132587, MSE, 0.322956
Iteration Times, 41, Error, 1.131390, MSE, 0.321978
Iteration Times, 42, Error, 1.130211, MSE, 0.321039
Iteration Times, 43, Error, 1.129049, MSE, 0.320137
Iteration Times, 44, Error, 1.127904, MSE, 0.319270
Iteration Times, 45, Error, 1.126776, MSE, 0.318435
Iteration Times, 46, Error, 1.125663, MSE, 0.317630
Iteration Times, 47, Error, 1.124566, MSE, 0.316854
Iteration Times, 48, Error, 1.123485, MSE, 0.316104
Iteration Times, 49, Error, 1.122419, MSE, 0.315380
Iteration Times, 50, Error, 1.121368, MSE, 0.314679
Iteration Times, 51, Error, 1.120332, MSE, 0.314000
Iteration Times, 52, Error, 1.119310, MSE, 0.313343
Iteration Times, 53, Error, 1.118302, MSE, 0.312706
Iteration Times, 54, Error, 1.117307, MSE, 0.312088
Iteration Times, 55, Error, 1.116327, MSE, 0.311488
Iteration Times, 56, Error, 1.115359, MSE, 0.310905
Iteration Times, 57, Error, 1.114405, MSE, 0.310338
Iteration Times, 58, Error, 1.113463, MSE, 0.309787
Iteration Times, 59, Error, 1.112534, MSE, 0.309250
Iteration Times, 60, Error, 1.111617, MSE, 0.308728
Iteration Times, 61, Error, 1.110712, MSE, 0.308219
Iteration Times, 62, Error, 1.109819, MSE, 0.307723
Iteration Times, 63, Error, 1.108938, MSE, 0.307239
Iteration Times, 64, Error, 1.108068, MSE, 0.306767
Iteration Times, 65, Error, 1.107209, MSE, 0.306306
Iteration Times, 66, Error, 1.106361, MSE, 0.305855
Iteration Times, 67, Error, 1.105524, MSE, 0.305415
Iteration Times, 68, Error, 1.104698, MSE, 0.304985
Iteration Times, 69, Error, 1.103882, MSE, 0.304565
Iteration Times, 70, Error, 1.103076, MSE, 0.304154
Iteration Times, 71, Error, 1.102280, MSE, 0.303751
Iteration Times, 72, Error, 1.101494, MSE, 0.303357
Iteration Times, 73, Error, 1.100718, MSE, 0.302971
Iteration Times, 74, Error, 1.099951, MSE, 0.302593
Iteration Times, 75, Error, 1.099194, MSE, 0.302222
Iteration Times, 76, Error, 1.098446, MSE, 0.301859
Iteration Times, 77, Error, 1.097707, MSE, 0.301503
Iteration Times, 78, Error, 1.096977, MSE, 0.301153
Iteration Times, 79, Error, 1.096255, MSE, 0.300810
Iteration Times, 80, Error, 1.095352, MSE, 0.300473
Iteration Times, 81, Error, 1.094465, MSE, 0.300141
Iteration Times, 82, Error, 1.093592, MSE, 0.299815
Iteration Times, 83, Error, 1.092733, MSE, 0.299494
Iteration Times, 84, Error, 1.091885, MSE, 0.299179
Iteration Times, 85, Error, 1.091049, MSE, 0.298868
Iteration Times, 86, Error, 1.090223, MSE, 0.298562
Iteration Times, 87, Error, 1.089407, MSE, 0.298261
Iteration Times, 88, Error, 1.088601, MSE, 0.297964
Iteration Times, 89, Error, 1.087804, MSE, 0.297672
Iteration Times, 90, Error, 1.087017, MSE, 0.297384
Iteration Times, 91, Error, 1.086237, MSE, 0.297100
